Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C7",1206,3,10uF,
C10,1206,1,47uF,
"C2, C3, C4, C6, C8",1206,5,0.1uF,
C9,1206,1,1uF,
CN1,CONN-TH_B4B-PH-K-S,1,PSP_ANALOG,
CN2,CONN-TH_B2B-PH-K-S,1,USB_PW(5V),
CN3,CONN-TH_B2B-PH-K-S,1,VIDEO_SCALE,
CN4,CONN-TH_B2B-PH-K-S,1,PSP_PW,
CN5,CONN-TH_B4B-PH-K-S,1,LED,
CN6,CONN-TH_B2B-PH-K-S,1,MAIN_SWITCH,
CN7,CONN-TH_B2B-PH-K-S,1,PW_SWITCH,
D1,D_SMA,1,D_Schottky,C2837270
FPC1,FPC-SMD_24P-P0.50_FPC-05F-24PH20,1,RIGHT+CENTER,C2856805
FPC2,FPC-SMD_10P-P0.50_XUNPU_FPC-05F-10PH20,1,LEFT,C2856798
JOY1,ps_controller,1,~,
Q1,SOT-23,1,BSS138,
"R1, R2, R3",1206,3,4.7kΩ,
"R4, R8, R9",1206,3,1kΩ,
R5,1206,1,10kΩ,
"R6, R7",1206,2,1MΩ,
U1,Stamp-S3-DIP,1,M5STAMP-S3,
U2,SOIC-28W_7.5x17.9mm_P1.27mm,1,MCP23017_SO,C47023
U3,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,AD5142,
